居住地_省,居住地_市,就业地_省,就业地_市,count
浙江省,湖州市,江苏省,徐州市,80
安徽省,滁州市,江苏省,徐州市,115
江苏省,盐城市,江苏省,徐州市,170
浙江省,绍兴市,江苏省,徐州市,69
浙江省,舟山市,江苏省,徐州市,13
安徽省,芜湖市,江苏省,徐州市,52
江苏省,苏州市,江苏省,徐州市,1201
安徽省,蚌埠市,江苏省,徐州市,117
浙江省,衢州市,江苏省,徐州市,21
江苏省,连云港市,江苏省,徐州市,493
浙江省,金华市,江苏省,徐州市,63
安徽省,铜陵市,江苏省,徐州市,8
江苏省,镇江市,江苏省,徐州市,130
安徽省,阜阳市,江苏省,徐州市,105
安徽省,马鞍山市,江苏省,徐州市,41
安徽省,黄山市,江苏省,徐州市,10
上海市,上海市,江苏省,扬州市,881
浙江省,丽水市,江苏省,扬州市,3
安徽省,亳州市,江苏省,扬州市,32
安徽省,六安市,江苏省,扬州市,15
江苏省,南京市,江苏省,扬州市,1128
江苏省,南通市,江苏省,扬州市,231
浙江省,台州市,江苏省,扬州市,19
安徽省,合肥市,江苏省,扬州市,117
浙江省,嘉兴市,江苏省,扬州市,67
浙江省,宁波市,江苏省,扬州市,76
安徽省,安庆市,江苏省,扬州市,17
安徽省,宣城市,江苏省,扬州市,13
安徽省,宿州市,江苏省,扬州市,44
江苏省,宿迁市,江苏省,扬州市,151
江苏省,常州市,江苏省,扬州市,232
江苏省,徐州市,江苏省,扬州市,180
江苏省,无锡市,江苏省,扬州市,313
浙江省,杭州市,江苏省,扬州市,126
安徽省,池州市,江苏省,扬州市,17
江苏省,泰州市,江苏省,扬州市,1616
安徽省,淮北市,江苏省,扬州市,10
安徽省,淮南市,江苏省,扬州市,12
江苏省,淮安市,江苏省,扬州市,478
浙江省,温州市,江苏省,扬州市,23
浙江省,湖州市,江苏省,扬州市,37
安徽省,滁州市,江苏省,扬州市,510
江苏省,盐城市,江苏省,扬州市,276
浙江省,绍兴市,江苏省,扬州市,27
